name,team,position,bye,projectedPoints,adp,adpStdev,sleeperId,tier,ballersRank,risk,upside
Jahmyr Gibbs,DET,RB,6,339.9,2,,9221,1,1,2,9.8
Bijan Robinson,ATL,RB,11,327.4,3,,9509,1,2,1.3,10
Christian McCaffrey,SF,RB,8,305.2,4,,4034,2,3,5.6,9.3
Ja'Marr Chase,CIN,WR,6,278.4,4,,7564,1,4,3.2,9.7
Jonathan Taylor,IND,RB,13,272.7,5,,6813,3,8,3.9,9
Puka Nacua,LAR,WR,11,267.2,6,,9493,1,5,6.3,9.6
Amon-Ra St. Brown,DET,WR,6,251.9,8,,7547,2,9,1,9.7
James Cook III,BUF,RB,7,274.2,8,,8138,3,7,2.5,8.4
Jaxon Smith-Njigba,SEA,WR,11,264.8,9,,9488,2,6,2,9.7
Saquon Barkley,PHI,RB,10,226.1,10,,4866,5,18,4.9,8.3
CeeDee Lamb,DAL,WR,14,236.5,12,,6786,2,10,2.6,9.3
Justin Jefferson,MIN,WR,6,212.3,13,,6794,3,21,4.7,9.5
Ashton Jeanty,LV,RB,13,224.4,14,,12527,5,19,10,8.7
De'Von Achane,MIA,RB,6,251.9,14,,9226,4,11,3.8,9.1
Omarion Hampton,LAC,RB,7,230.2,16,,12507,5,16,4.7,8.7
Derrick Henry,BAL,RB,13,231.7,17,,3198,5,15,5.3,8.6
Chase Brown,CIN,RB,6,234.4,18,,9224,5,14,4.8,8.4
Kenneth Walker III,KC,RB,5,244.3,18,,8151,5,12,5,8.2
A.J. Brown,NE,WR,11,211.7,19,,5859,3,22,5.3,8
Drake London,ATL,WR,11,206.7,21,,8112,3,26,4,9.1
Brock Bowers,LV,TE,13,210,22,,11604,1,13,2.5,9.8
Josh Allen,BUF,QB,7,427.3,23,,4984,1,23,2.6,9.7
Nico Collins,HOU,WR,8,212.9,23,,7569,3,20,4.6,8.9
George Pickens,DAL,WR,14,209.6,24,,8137,3,24,5,8.9
Kyren Williams,LAR,RB,11,214.8,25,,8150,6,28,5.5,8
Trey McBride,ARI,TE,14,205.6,26,,8130,1,17,4.2,8.3
Jeremiyah Love,ARI,RB,14,211.3,27,,13287,6,31,5.3,8.5
Malik Nabers,NYG,WR,8,205.6,29,,11632,3,27,7.8,9
Rashee Rice,KC,WR,5,204.6,30,,10229,3,29,9.5,8.3
Chris Olave,NO,WR,8,208.3,31,,8144,3,25,6.2,8.8
Breece Hall,NYJ,RB,13,207.1,32,,8155,7,34,5.3,8.1
Javonte Williams,DAL,RB,14,203.3,33,,7588,7,38,4.3,7.7
DeVonta Smith,PHI,WR,10,198.2,34,,7525,4,36,3.4,7.6
Josh Jacobs,GB,RB,11,38.1,35,,5850,10,285,8.7,4.7
Lamar Jackson,BAL,QB,13,391.5,35,,4881,2,45,5.5,9
Tetairoa McMillan,CAR,WR,5,196.1,36,,12526,4,40,4,8.2
Cam Skattebo,NYG,RB,8,193.7,37,,12481,7,48,6.5,7.2
Ladd McConkey,LAC,WR,7,196.2,38,,11635,4,39,4.7,6.8
Tee Higgins,CIN,WR,6,196.1,39,,6801,4,41,6.1,8.3
Emeka Egbuka,TB,WR,10,196.8,41,,12514,4,37,5.5,8.1
Travis Etienne Jr.,NO,RB,8,199.3,41,,7543,7,42,4.6,7.6
Zay Flowers,BAL,WR,13,201.2,42,,9997,4,33,4.3,7.5
Colston Loveland,CHI,TE,10,177,44,,12517,2,62,4.2,9.2
David Montgomery,HOU,RB,8,179.9,44,,5892,8,63,4.1,6.8
Garrett Wilson,NYJ,WR,13,203.7,45,,8146,3,30,4.9,8.1
Bucky Irving,TB,RB,10,198.5,47,,11584,7,44,5.8,7.7
Jaylen Waddle,DEN,WR,10,198.9,47,,7526,4,35,5,7.7
D'Andre Swift,CHI,RB,10,209.3,48,,6790,6,32,5.3,6.8
Quinshon Judkins,CLE,RB,11,186.7,49,,12512,8,54,5,7.6
Tyler Warren,IND,TE,13,174.3,51,,12518,2,66,3.4,8.8
DJ Moore,BUF,WR,7,183.7,52,,4983,5,56,4.2,7.1
Drake Maye,NE,QB,11,380.4,52,,11564,3,61,4.1,8.2
Terry McLaurin,WAS,WR,7,183.6,53,,5927,5,55,4.4,6.8
TreVeyon Henderson,NE,RB,11,180.4,55,,12529,8,60,5.1,8.2
Davante Adams,LAR,WR,11,183.3,56,,2133,5,53,5.2,7.8
Joe Burrow,CIN,QB,6,397.7,56,,6770,2,43,5.5,8.9
Jadarian Price,SEA,RB,11,181.6,57,,13286,8,59,5.5,7.2
Jameson Williams,DET,WR,6,188.3,59,,8148,5,50,5.3,7.7
Bhayshul Tuten,JAX,RB,7,192.3,60,,12490,7,49,6.4,7.7
Luther Burden III,CHI,WR,10,187.9,60,,12519,5,51,5.5,7.8
Mike Evans,SF,WR,8,182.1,62,,2216,5,57,7.8,7.5
Rome Odunze,CHI,WR,10,179.7,63,,11620,6,58,3.5,7.3
Jayden Daniels,WAS,QB,7,380.1,64,,11566,3,77,4.7,6.2
Sam LaPorta,DET,TE,6,149.3,65,,10859,4,110,4.4,6.2
Christian Watson,GB,WR,11,191.7,66,,8167,5,46,6.6,8.1
Jalen Hurts,PHI,QB,10,377.6,66,,6904,3,76,3.8,5.8
Tucker Kraft,GB,TE,11,159.3,66,,9484,3,94,5.5,8.2
Carnell Tate,TEN,WR,9,191.3,68,,13279,5,47,5.9,6.8
Jaylen Warren,PIT,RB,9,152.4,69,,8228,9,86,4.4,6.2
Kyle Pitts Sr.,ATL,TE,11,139.8,70,,7553,4,119,5.8,6.3
Marvin Harrison,ARI,WR,14,174.6,71,,11628,7,67,6.2,7.3
Parker Washington,JAX,WR,7,184.5,71,,9487,5,52,4.3,6.2
Rhamondre Stevenson,NE,RB,11,170.8,73,,7611,8,70,4.8,5.6
Brian Thomas Jr.,JAX,WR,7,174.1,75,,11631,7,68,6.5,7.5
Harold Fannin Jr.,CLE,TE,11,162.6,77,,12506,2,72,4.1,8.6
DK Metcalf,PIT,WR,9,177.1,78,,5846,6,65,4.4,7.1
Tony Pollard,TEN,RB,9,149.8,78,,5967,9,90,5.6,5.9
Caleb Williams,CHI,QB,10,373.8,80,,11560,4,79,5.8,7.8
Chuba Hubbard,CAR,RB,5,149.3,80,,7594,9,93,6.7,5.2
Courtland Sutton,DEN,WR,10,149.2,80,,5045,8,87,5,6
Justin Herbert,LAC,QB,7,366.1,81,,6797,4,91,4.8,7.8
RJ Harvey,DEN,RB,10,127.6,82,,12489,9,125,6.2,5.5
Rico Dowdle,PIT,RB,9,168.2,84,,7021,8,71,4.5,4
George Kittle,SF,TE,8,150.9,86,,4217,3,108,8,8.4
